nohup: ignoring input
Device: cuda
Tokenizer loaded from tokenizer/tokenizer.json (vocab=32000)
============================================================
Stage 2: Building dataset
============================================================

Loading aligned chunk data...
  Loaded 1501124 examples from arxiv_aligned.jsonl
  Loaded 777318 examples from pubmed_aligned.jsonl
  Total aligned chunks: 2278442

Loading second-pass examples...
  Loaded 315737 examples from second_pass.jsonl

Loading CNN/DailyMail anchor data...
  CNN/DM anchor samples: 287113

Building validation set (first chunk per paper, no augment)...

  Chunk examples    : 2278442
  Second-pass       : 315737
  Anchor (CNN/DM)   : 287113
  Val (first chunk) : 5000
  Train steps/epoch : 60000
  Val batches       : 313
  Batch composition : 9 chunk + 4 second-pass + 3 anchor = 16
Model built — 32,413,184 trainable parameters

Loading Stage 1 checkpoint: checkpoints/stage1_best.pt
  Stage 1 val loss: 3.7116
  Stage 1 epoch:    15
  Dropout updated to 0.15

Total steps: 480000, Warmup: 4000

Reference: additive models play an important role in semiparametric statistics . 
 this paper gives learning rates for regularized kernel based methods for additive models . 
 these learning rates compare favour
============================================================
  batch 17200/60000 | loss 4.3842 | grad 1.672 | lr 9.98e-05
  batch 17400/60000 | loss 4.4036 | grad 2.558 | lr 9.98e-05
  batch 17600/60000 | loss 4.1093 | grad 1.495 | lr 9.98e-05
  batch 17800/60000 | loss 3.9645 | grad 1.774 | lr 9.98e-05
  batch 18000/60000 | loss 4.1802 | grad 1.809 | lr 9.98e-05
  batch 18200/60000 | loss 4.2050 | grad 1.890 | lr 9.98e-05
  batch 18400/60000 | loss 4.1710 | grad 1.701 | lr 9.98e-05
  batch 18600/60000 | loss 4.1055 | grad 1.418 | lr 9.98e-05
  batch 18800/60000 | loss 4.2711 | grad 1.586 | lr 9.98e-05
  batch 19000/60000 | loss 3.8700 | grad 1.626 | lr 9.98e-05
  batch 19200/60000 | loss 4.2185 | grad 1.941 | lr 9.98e-05
  batch 19400/60000 | loss 4.2623 | grad 2.014 | lr 9.97e-05
  batch 19600/60000 | loss 4.2394 | grad 1.902 | lr 9.97e-05
  batch 19800/60000 | loss 4.4013 | grad 1.580 | lr 9.97e-05
  batch 20000/60000 | loss 4.1249 | grad 1.624 | lr 9.97e-05
  batch 20200/60000 | loss 4.1757 | grad 1.643 | lr 9.97e-05
  batch 20400/60000 | loss 4.1831 | grad 1.905 | lr 9.97e-05
  batch 20600/60000 | loss 4.2504 | grad 1.594 | lr 9.97e-05
  batch 20800/60000 | loss 4.0937 | grad 1.738 | lr 9.97e-05
  batch 21000/60000 | loss 3.9389 | grad 1.533 | lr 9.97e-05
  batch 21200/60000 | loss 4.0908 | grad 1.666 | lr 9.97e-05
  batch 21400/60000 | loss 4.3188 | grad 1.548 | lr 9.97e-05
  batch 21600/60000 | loss 4.0514 | grad 1.694 | lr 9.97e-05
  batch 21800/60000 | loss 4.0424 | grad 1.713 | lr 9.97e-05
  batch 22000/60000 | loss 4.1019 | grad 1.810 | lr 9.97e-05
  batch 22200/60000 | loss 3.9915 | grad 1.489 | lr 9.96e-05
  batch 22400/60000 | loss 4.0899 | grad 1.662 | lr 9.96e-05
