nohup: ignoring input
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Device: cuda
Tokenizer loaded from tokenizer/tokenizer.json (vocab=32000)
============================================================
Stage 3: Building dataset
============================================================

Loading legal chunks...
  Loaded 221122 from legal_train.jsonl
  Loaded 50010 from legal_val.jsonl
  Total legal train: 221122
  Total legal val:   50010

Loading second-pass legal examples...
  Loaded 21240 from legal_second_pass.jsonl
  Total second-pass: 21240

Loading arXiv anchor (limit=20000)...
  Loaded 10000 from arxiv_aligned.jsonl
  Loaded 10000 from pubmed_aligned.jsonl
Loading CNN/DM anchor (limit=10000)...
  Loaded 10000 CNN/DM samples

  Legal chunks      : 221122
  Second-pass       : 21240
  arXiv anchor      : 20000
  CNN/DM anchor     : 10000
  Val set           : 2000
  Train steps/epoch : 24569
  Val batches       : 125
  Batch composition : 9 legal + 4 2nd-pass + 2 arXiv + 1 cnn = 16
Model built — 32,413,184 trainable parameters

Loading Stage 2 checkpoint: checkpoints/stage2_best.pt
  Stage 2 val loss: 4.3827
  Stage 2 epoch:    10
  Dropout updated to 0.3

Total steps: 368535, Warmup: 500

Reference: On March 8th, 2014, several citizens of Montgomery, Alabama, who had been imprisoned for failing to pay traffic fines, filed a lawsuit in the U.S. District Court for the Middle District of Alabama, un
============================================================

>>> Unfreezing stage 1: 17,047,808 trainable parameters
  batch  9100/24569 | ce 4.9565 | cov 0.6527 | λ_cov=0.0 | grad 2.758 | lr 4.99e-05
  batch  9200/24569 | ce 4.7980 | cov 0.6702 | λ_cov=0.0 | grad 2.829 | lr 4.99e-05
  batch  9300/24569 | ce 5.0742 | cov 0.6745 | λ_cov=0.0 | grad 2.586 | lr 4.99e-05
  batch  9400/24569 | ce 5.0508 | cov 0.6636 | λ_cov=0.0 | grad 2.869 | lr 4.99e-05
  batch  9500/24569 | ce 5.2018 | cov 0.6788 | λ_cov=0.0 | grad 4.847 | lr 4.99e-05
  batch  9600/24569 | ce 5.0556 | cov 0.6820 | λ_cov=0.0 | grad 2.848 | lr 4.99e-05
  batch  9700/24569 | ce 4.8333 | cov 0.6673 | λ_cov=0.0 | grad 2.885 | lr 4.99e-05
  batch  9800/24569 | ce 5.0976 | cov 0.6587 | λ_cov=0.0 | grad 3.056 | lr 4.99e-05
  batch  9900/24569 | ce 5.0498 | cov 0.6894 | λ_cov=0.0 | grad 2.881 | lr 4.99e-05
  batch 10000/24569 | ce 4.9399 | cov 0.6738 | λ_cov=0.0 | grad 3.853 | lr 4.99e-05
  batch 10100/24569 | ce 4.7776 | cov 0.6708 | λ_cov=0.0 | grad 2.792 | lr 4.99e-05
  batch 10200/24569 | ce 4.9625 | cov 0.6659 | λ_cov=0.0 | grad 2.679 | lr 4.99e-05
  batch 10300/24569 | ce 4.8812 | cov 0.6787 | λ_cov=0.0 | grad 2.931 | lr 4.99e-05
  batch 10400/24569 | ce 5.0825 | cov 0.6754 | λ_cov=0.0 | grad 2.910 | lr 4.99e-05
  batch 10500/24569 | ce 5.0252 | cov 0.6897 | λ_cov=0.0 | grad 2.809 | lr 4.99e-05
  batch 10600/24569 | ce 4.8866 | cov 0.6779 | λ_cov=0.0 | grad 2.767 | lr 4.99e-05
  batch 10700/24569 | ce 5.3218 | cov 0.6724 | λ_cov=0.0 | grad 3.577 | lr 4.99e-05
  batch 10800/24569 | ce 4.7724 | cov 0.6758 | λ_cov=0.0 | grad 3.059 | lr 4.99e-05
  batch 10900/24569 | ce 5.0370 | cov 0.6753 | λ_cov=0.0 | grad 3.781 | lr 4.99e-05
  batch 11000/24569 | ce 4.8598 | cov 0.6771 | λ_cov=0.0 | grad 2.859 | lr 4.99e-05
  batch 11100/24569 | ce 4.8957 | cov 0.6904 | λ_cov=0.0 | grad 3.055 | lr 4.99e-05
  batch 11200/24569 | ce 4.9192 | cov 0.6789 | λ_cov=0.0 | grad 3.126 | lr 4.99e-05
  batch 11300/24569 | ce 5.0837 | cov 0.6837 | λ_cov=0.0 | grad 3.600 | lr 4.99e-05
  batch 11400/24569 | ce 5.0103 | cov 0.6648 | λ_cov=0.0 | grad 2.848 | lr 4.99e-05
  batch 11500/24569 | ce 4.9615 | cov 0.6656 | λ_cov=0.0 | grad 2.936 | lr 4.99e-05
  batch 11600/24569 | ce 4.8886 | cov 0.6884 | λ_cov=0.0 | grad 2.651 | lr 4.99e-05
  batch 11700/24569 | ce 4.8519 | cov 0.6767 | λ_cov=0.0 | grad 2.626 | lr 4.99e-05
  batch 11800/24569 | ce 5.0056 | cov 0.6708 | λ_cov=0.0 | grad 2.942 | lr 4.99e-05
  batch 11900/24569 | ce 5.2929 | cov 0.6772 | λ_cov=0.0 | grad 2.808 | lr 4.99e-05
  batch 12000/24569 | ce 4.7412 | cov 0.6889 | λ_cov=0.0 | grad 3.701 | lr 4.99e-05
  batch 12100/24569 | ce 4.8362 | cov 0.7025 | λ_cov=0.0 | grad 2.739 | lr 4.99e-05
  batch 12200/24569 | ce 4.7091 | cov 0.6857 | λ_cov=0.0 | grad 2.914 | lr 4.99e-05
  batch 12300/24569 | ce 5.0640 | cov 0.6692 | λ_cov=0.0 | grad 6.601 | lr 4.99e-05
  batch 12400/24569 | ce 4.6349 | cov 0.6780 | λ_cov=0.0 | grad 2.797 | lr 4.99e-05
  batch 12500/24569 | ce 4.7642 | cov 0.6749 | λ_cov=0.0 | grad 3.226 | lr 4.99e-05
  batch 12600/24569 | ce 4.8648 | cov 0.6765 | λ_cov=0.0 | grad 2.839 | lr 4.99e-05
  batch 12700/24569 | ce 4.9089 | cov 0.6776 | λ_cov=0.0 | grad 2.570 | lr 4.99e-05
  batch 12800/24569 | ce 4.8481 | cov 0.6975 | λ_cov=0.0 | grad 2.665 | lr 4.99e-05
  batch 12900/24569 | ce 5.0280 | cov 0.7228 | λ_cov=0.0 | grad 2.850 | lr 4.99e-05
  batch 13000/24569 | ce 4.6749 | cov 0.6766 | λ_cov=0.0 | grad 2.668 | lr 4.99e-05
  batch 13100/24569 | ce 5.0325 | cov 0.6825 | λ_cov=0.0 | grad 2.723 | lr 4.99e-05
  batch 13200/24569 | ce 5.0581 | cov 0.6686 | λ_cov=0.0 | grad 2.867 | lr 4.99e-05
  batch 13300/24569 | ce 4.8891 | cov 0.6894 | λ_cov=0.0 | grad 2.689 | lr 4.99e-05
  batch 13400/24569 | ce 4.9537 | cov 0.6868 | λ_cov=0.0 | grad 3.878 | lr 4.99e-05
  batch 13500/24569 | ce 4.9637 | cov 0.7021 | λ_cov=0.0 | grad 2.618 | lr 4.98e-05
  batch 13600/24569 | ce 4.9484 | cov 0.6852 | λ_cov=0.0 | grad 3.058 | lr 4.98e-05
  batch 13700/24569 | ce 4.8555 | cov 0.6764 | λ_cov=0.0 | grad 2.629 | lr 4.98e-05
  batch 13800/24569 | ce 4.9626 | cov 0.6902 | λ_cov=0.0 | grad 3.153 | lr 4.98e-05
  batch 13900/24569 | ce 4.9660 | cov 0.6796 | λ_cov=0.0 | grad 2.722 | lr 4.98e-05
  batch 14000/24569 | ce 4.8874 | cov 0.6788 | λ_cov=0.0 | grad 3.029 | lr 4.98e-05
  batch 14100/24569 | ce 4.9039 | cov 0.6992 | λ_cov=0.0 | grad 2.697 | lr 4.98e-05
  batch 14200/24569 | ce 4.9155 | cov 0.6834 | λ_cov=0.0 | grad 2.720 | lr 4.98e-05
  batch 14300/24569 | ce 4.7103 | cov 0.6818 | λ_cov=0.0 | grad 2.850 | lr 4.98e-05
  batch 14400/24569 | ce 4.9996 | cov 0.6893 | λ_cov=0.0 | grad 2.421 | lr 4.98e-05
  batch 14500/24569 | ce 4.8371 | cov 0.6892 | λ_cov=0.0 | grad 3.467 | lr 4.98e-05
  batch 14600/24569 | ce 4.9659 | cov 0.6981 | λ_cov=0.0 | grad 3.091 | lr 4.98e-05
  batch 14700/24569 | ce 4.9562 | cov 0.6755 | λ_cov=0.0 | grad 2.815 | lr 4.98e-05
  batch 14800/24569 | ce 4.7052 | cov 0.6809 | λ_cov=0.0 | grad 2.528 | lr 4.98e-05
  batch 14900/24569 | ce 4.5050 | cov 0.6863 | λ_cov=0.0 | grad 2.590 | lr 4.98e-05
  batch 15000/24569 | ce 5.0747 | cov 0.6820 | λ_cov=0.0 | grad 2.658 | lr 4.98e-05
  batch 15100/24569 | ce 4.8947 | cov 0.6916 | λ_cov=0.0 | grad 2.670 | lr 4.98e-05
  batch 15200/24569 | ce 5.0544 | cov 0.6941 | λ_cov=0.0 | grad 3.701 | lr 4.98e-05
  batch 15300/24569 | ce 4.7281 | cov 0.6799 | λ_cov=0.0 | grad 2.819 | lr 4.98e-05
  batch 15400/24569 | ce 4.9793 | cov 0.6825 | λ_cov=0.0 | grad 3.068 | lr 4.98e-05
  batch 15500/24569 | ce 4.8649 | cov 0.7123 | λ_cov=0.0 | grad 2.906 | lr 4.98e-05
  batch 15600/24569 | ce 4.9300 | cov 0.7031 | λ_cov=0.0 | grad 2.539 | lr 4.98e-05
  batch 15700/24569 | ce 4.8509 | cov 0.6962 | λ_cov=0.0 | grad 2.798 | lr 4.98e-05
  batch 15800/24569 | ce 4.9197 | cov 0.6916 | λ_cov=0.0 | grad 2.698 | lr 4.98e-05
  batch 15900/24569 | ce 4.8437 | cov 0.6922 | λ_cov=0.0 | grad 3.047 | lr 4.98e-05
  batch 16000/24569 | ce 4.5933 | cov 0.7034 | λ_cov=0.0 | grad 3.429 | lr 4.98e-05
  batch 16100/24569 | ce 4.9928 | cov 0.7069 | λ_cov=0.0 | grad 3.616 | lr 4.98e-05
  batch 16200/24569 | ce 4.7279 | cov 0.6939 | λ_cov=0.0 | grad 2.788 | lr 4.98e-05
  batch 16300/24569 | ce 4.6042 | cov 0.7050 | λ_cov=0.0 | grad 4.052 | lr 4.98e-05
  batch 16400/24569 | ce 5.0582 | cov 0.6989 | λ_cov=0.0 | grad 3.036 | lr 4.98e-05
  batch 16500/24569 | ce 4.8685 | cov 0.6777 | λ_cov=0.0 | grad 2.666 | lr 4.98e-05
  batch 16600/24569 | ce 4.7147 | cov 0.6863 | λ_cov=0.0 | grad 2.685 | lr 4.98e-05
  batch 16700/24569 | ce 4.8957 | cov 0.6997 | λ_cov=0.0 | grad 2.701 | lr 4.98e-05
  batch 16800/24569 | ce 4.7928 | cov 0.7035 | λ_cov=0.0 | grad 2.746 | lr 4.98e-05
  batch 16900/24569 | ce 4.9145 | cov 0.6952 | λ_cov=0.0 | grad 2.865 | lr 4.98e-05
  batch 17000/24569 | ce 4.9826 | cov 0.6917 | λ_cov=0.0 | grad 2.723 | lr 4.98e-05
  batch 17100/24569 | ce 4.8926 | cov 0.7022 | λ_cov=0.0 | grad 2.697 | lr 4.98e-05
  batch 17200/24569 | ce 4.8659 | cov 0.7068 | λ_cov=0.0 | grad 3.115 | lr 4.98e-05
  batch 17300/24569 | ce 4.5255 | cov 0.6879 | λ_cov=0.0 | grad 3.700 | lr 4.97e-05
  batch 17400/24569 | ce 4.6512 | cov 0.6811 | λ_cov=0.0 | grad 2.839 | lr 4.97e-05
  batch 17500/24569 | ce 4.7885 | cov 0.6805 | λ_cov=0.0 | grad 2.563 | lr 4.97e-05
